Date,sma10,wma10,ema10,mom,stck%,stcd%,RSI_10,macd,r,ad,cci,roc,obv,dis,lband,hband,t_n
2007-03-13,12199.91201171875,12202.4826171875,12254.987344574132,-192.669921875,11.72212833639843,23.096090677495077,31.810475683237517,-110.59024285747091,-88.27787166360157,589823574.3904908,-66.66666666666667,-1.1483097151508903,320160000.0,-0.00010160077438442749,12027.023863704844,12372.800159732657,12133.400390625
2007-03-14,12186.3890625,12190.389595170454,12232.88062567429,-100.939453125,47.22671756451874,25.246879098114444,36.70898719591437,-113.43180302648041,-52.77328243548126,703585100.2538018,-66.66666666666667,-1.1022379310418935,653610000.0,-4.3481848153081946e-05,12015.979288500586,12356.798836499414,12159.6796875
2007-03-15,12178.923046875,12185.533345170454,12219.571364188056,45.580078125,53.63099374565671,28.2362378170585,38.938784911464424,-115.44622177301596,-46.3690062543433,626506799.6110779,66.66666666666667,-0.6102507957398344,886210000.0,-1.5800542708853837e-05,12011.047584601794,12346.798509148204,12110.41015625
2007-03-16,12178.5541015625,12173.07645596591,12199.72387183568,60.0,41.623987358039734,31.657730289062236,36.27640605831212,-117.30773666843649,-58.376012641960266,794815783.2614189,-66.66666666666667,-0.030455859238145637,497550000.0,-5.595405229899791e-05,12010.095199738173,12347.013003386828,12226.169921875
2007-03-19,12196.130078125,12181.733877840908,12204.532244570102,18.580078125,69.83469304216207,38.49189309236165,45.92795380159529,-117.05855210770648,-30.16530695783792,586335783.2614189,66.66666666666667,1.4585376210936802,706030000.0,2.4630635748859586e-05,12049.565075328055,12342.695080921943,12288.099609375
2007-03-20,12204.1810546875,12198.455610795454,12219.726310898266,95.6494140625,84.92698506382858,44.71935085873322,50.39406075364945,-114.32771373360765,-15.073014936171427,453180320.92645234,66.66666666666829,0.6595058210136304,902650000.0,6.876213513340774e-05,12047.487549619504,12360.874559755497,12447.51953125
2007-03-21,12229.68798828125,12242.698970170455,12261.143260053126,186.8193359375,93.9111985843776,51.994329581796976,59.87360843575576,-107.58992562922465,-6.088801415622404,262947718.19042617,66.6666666666676,2.0920268842727263,1148650000.0,0.00017811700770901178,12016.191289640023,12443.184686922477,12461.1396484375
2007-03-22,12249.73193359375,12284.781090198863,12297.506239759376,184.8193359375,96.42952583872017,58.27027000538171,60.58855250370562,-98.19118378581996,-3.5704741612798383,298139246.64266473,66.66666666666667,1.6348124489793157,1381350000.0,0.0001725815029992485,11994.747528271395,12504.716338916105,12481.009765625
2007-03-23,12270.20087890625,12326.831605113637,12330.870517189489,162.3896484375,94.74309327117307,64.14022269998603,61.69486057889732,-87.05269755746232,-5.256906728826941,174355269.4606374,66.66666666666667,1.667351844156274,1587760000.0,0.00017180557091054077,11979.590945236981,12560.810812575517,12469.0703125
2007-03-26,12285.2458984375,12362.989683948863,12355.99775270049,393.1103515625,92.65372876200112,68.67030515668762,60.559901114306044,-75.33414291488877,-7.346271237998886,373091673.3110305,-66.66666666666977,1.2213234427335333,1367800000.0,0.0001496302276585925,11971.509425120581,12598.98237175442,12397.2900390625
2007-03-27,12317.37890625,12383.361345880681,12363.505441129946,263.8896484375,80.09242011504664,75.50733433455244,53.93227136199163,-64.69935960533758,-19.907579884953364,584265752.4186656,-66.66666666666211,2.660907117648757,1158460000.0,6.487673507547295e-05,12031.368822074142,12603.388990425858,12300.3603515625
2007-03-28,12334.07490234375,12380.267063210227,12352.024515754047,140.6806640625,50.879070339287914,75.87256961202937,46.32546947497376,-56.548943282210324,-49.12092966071209,811681783.6809542,-66.66666666666667,1.3760360291621414,933630000.0,-2.73344787089324e-05,12074.723098986107,12593.426705701391,12348.75
