Date,sma10,wma10,ema10,mom,stck%,stcd%,RSI_10,macd,r,ad,cci,roc,obv,dis,lband,hband,t_n
2011-03-14,1311.4639892578125,1308.831454190341,1309.7239510558666,-9.93994140625,21.8253366835507,41.086362513144095,41.545551567420006,4.697592893767733,-78.1746633164493,80623944449.84995,-66.66666666666667,-2.32289723898252,325159890000.0,-0.0001149400573164476,1289.2079860143906,1333.7199925012344,1281.8699951171875
2011-03-15,1309.0179931640625,1303.4507279829545,1304.6595954306522,-26.5699462890625,29.159626241330628,41.579124641251,35.94980957886542,3.4498272466328648,-70.84037375866937,88842713355.36812,-66.66666666666666,-1.8724182833082044,319958490000.0,-0.0002073920923061943,1280.5368315003502,1337.4991548277749,1256.8800048828125
2011-03-16,1303.8619995117188,1293.97109375,1295.9723971492267,-74.0899658203125,9.4076149130269,39.673078320631916,28.58680395437337,1.7399229337310542,-90.5923850869731,95027217104.45335,-66.66666666666565,-3.940565775454951,314125490000.0,-0.0003603295030187279,1261.5293435731292,1346.1946554503083,1273.719970703125
2011-03-17,1298.1369995117188,1288.4907248757102,1291.9265014317536,-47.4300537109375,30.074301811487985,35.310500929049404,38.08207832127603,0.05767661500694232,-69.92569818851202,88627274560.13489,66.66666666666667,-4.301374280424671,318260440000.0,-0.0001880928501211972,1256.538547878891,1339.7354511445467,1279.2099609375
2011-03-18,1293.9429931640625,1285.0494451349432,1289.614403160071,-30.9200439453125,38.35674708951667,33.747651462852865,40.927222604916736,-1.4454208086861535,-61.643252910483326,82126536252.97789,66.66666666666667,-3.174511804226258,322945940000.0,-0.00011386152484612945,1254.0490611582336,1333.8369251698914,1298.3800048828125
2011-03-21,1292.7679931640625,1285.8561745383522,1291.208148927842,-23.43994140625,64.32389326440045,36.62573251612895,49.86514736890861,-2.4794527938236595,-35.67610673559955,76813930761.66406,66.66666666666542,-0.8968575604106559,327169670000.0,4.341081886638066e-05,1254.179518191223,1331.356468136902,1293.77001953125
2011-03-22,1289.9630004882813,1286.038361150568,1291.673943583007,-26.25,60.302081584413955,35.40714468150543,47.92752888236801,-3.2241785328347863,-39.69791841558604,79347131594.12547,66.66666666665795,-2.1220686551569403,323593120000.0,2.95126220017757e-05,1256.490717989621,1323.4352829869415,1297.5400390625
2011-03-23,1287.7150024414063,1287.4160045276988,1292.7405063974604,2.4300537109375,72.73143401201114,35.904907616515054,49.70339957323644,-3.685828405461672,-27.268565987988868,80042766778.04716,-66.66666666667889,-1.703002995116152,327435470000.0,7.629822284019494e-05,1260.114738625322,1315.3152662574907,1309.6600341796875
2011-03-24,1289.1700073242187,1291.4060102982955,1295.8167841760471,5.3800048828125,97.30304402101595,45.39879941079929,55.16518763374729,-3.7601150822426406,-2.696955978984046,75694829237.05031,66.66666666666667,1.1234604776964432,331659210000.0,0.00015893968009694567,1258.7715556501207,1319.5684589983166,1313.800048828125
2011-03-25,1290.1220092773438,1295.884199662642,1299.0864686582431,17.4100341796875,92.32852629655093,51.581260591730526,56.93990076109896,-3.5146370488646212,-7.671473703449056,71012709472.26808,66.66666666666853,0.7299061027854695,335882950000.0,0.00018353333545595738,1257.384093865769,1322.8599246889185,1310.18994140625
