Date,sma10,wma10,ema10,mom,stck%,stcd%,RSI_10,macd,r,ad,cci,roc,obv,dis,lband,hband,t_n,t_n1,t_n2
2011-02-03,10372.60908203125,10378.404137073863,10393.525265688799,156.8408203125,79.27539659324998,42.6641752737162,52.49101994674446,43.56960017258641,-20.72460340675002,-11898779318.158077,-66.66666666649078,-0.05699954293702028,3600200000.0,5.6640782532744956e-05,10205.91970988348,10539.29845417902,10431.3603515625,10543.51953125,10592.0400390625
2011-02-04,10399.50908203125,10409.478764204545,10420.79695033629,198.4091796875,90.73862673903918,51.28215805039914,58.716939562500855,41.339634166775944,-9.261373260960825,-12759992788.112923,66.6666666666728,2.618127292296591,3800500000.0,0.00013847812246020068,10218.60458938693,10580.413574675571,10543.51953125,10592.0400390625,10635.98046875
2011-02-07,10424.20205078125,10444.484392755681,10451.932057377418,127.6201171875,88.69899454009675,57.7492747139692,61.163287714517224,41.60511510377459,-11.30100545990324,-13054875699.349707,66.66666666668023,2.3869217350852554,3962800000.0,0.00016100799606879348,10214.604713842886,10633.799387719615,10592.0400390625,10635.98046875,10617.830078125
2011-02-08,10441.35810546875,10482.98955965909,10485.395404899706,234.080078125,97.25042363207162,61.78096269964122,63.348694463461314,44.008421451020965,-2.749576367928382,-13584698934.895578,66.66666666668495,1.6394654281444396,4113200000.0,0.00018639564060092493,10196.3136783403,10686.402532597198,10635.98046875,10617.830078125,10605.650390625
2011-02-09,10462.95107421875,10515.075372869318,10509.474436395214,139.169921875,83.80862481995585,66.19276662237459,61.75379740110146,47.31066772327992,-16.19137518004415,-13632157791.853186,66.66666666686935,2.075867672167026,3948200000.0,0.00014802611883360468,10198.345850502437,10727.556297935063,10617.830078125,10605.650390625,10725.5400390625
2011-02-10,10475.65009765625,10541.020703125,10526.960973527903,245.310546875,81.46344398605527,67.50065008778316,60.61593574462277,50.75368223522679,-18.536556013944725,-13553565512.581942,-66.66666666665029,1.2118938154441115,3802600000.0,0.00012409758989357245,10197.410288335732,10753.889906976767,10605.650390625,10725.5400390625,10746.669921875
2011-02-14,10512.1701171875,10586.455237926137,10563.066258170558,487.6201171875,100.0,74.32888204938517,67.22160101890171,55.753004833057815,-0.0,-14072715548.892763,66.6666666666724,3.5249827787532606,3943200000.0,0.0002029741903873291,10209.280771966321,10815.059462408677,10725.5400390625,10746.669921875,10808.2900390625
2011-02-15,10563.0451171875,10629.091566051136,10596.448742480457,472.169921875,97.2206532905236,82.66063574925272,68.26397009990585,61.697481345161684,-2.7793467094763895,-14138623502.339928,66.66666666669357,4.969271139862815,4085900000.0,0.0001738369974286282,10292.305965130878,10833.78426924412,10746.669921875,10808.2900390625,10836.6396484375
2011-02-16,10616.42412109375,10673.68155184659,10634.965341859011,350.9296875,92.84326092226527,89.63580528117468,71.22864465807348,68.7242787754958,-7.156739077734726,-14352770214.442005,66.6666666666786,5.195289688670981,4275000000.0,0.00018072555860643443,10386.952704474275,10845.895537713226,10808.2900390625,10836.6396484375,10842.7998046875
2011-02-17,10654.35205078125,10713.720738636364,10671.633397600555,405.279296875,88.59183251507129,89.98912570383287,72.5399614490087,76.3715088011457,-11.408167484928708,-14586017549.185091,66.66666666667916,3.6269123767770846,4448700000.0,0.00017109214787292806,10417.327879173887,10891.376222388613,10836.6396484375,10842.7998046875,10857.5302734375
2011-02-18,10695.49599609375,10747.983966619318,10702.754562525453,299.2802734375,86.72004762297064,90.73359080680494,72.83884204594668,83.97519780327202,-13.279952377029359,-14583907568.787443,-66.66666666661216,3.944255008536552,4600000000.0,0.00013772508413592834,10486.392997082754,10904.598995104747,10842.7998046875,10857.5302734375,10664.7001953125
2011-02-21,10726.8970703125,10777.444744318182,10730.895600873097,265.490234375,89.38582159710116,90.59831029261116,73.60223144680272,91.22039084630828,-10.614178402898842,-14512179506.715687,-66.66666666646499,2.9782345568460484,4736400000.0,0.0001217809794097285,10524.305711132998,10929.488429492001,10857.5302734375,10664.7001953125,10579.099609375
2011-02-22,10734.1630859375,10766.136221590908,10718.860072589352,28.7197265625,29.310308108420575,84.65944164944352,52.244534869747056,94.8971764061513,-70.68969189157943,-14049517411.407133,-66.66666666666089,0.6859883080316522,4557500000.0,-6.471197620986514e-05,10546.80009109906,10921.52608077594,10664.7001953125,10579.099609375,10452.7099609375
