Date,sma10,wma10,ema10,mom,stck%,stcd%,RSI_10,macd,r,ad,cci,roc,obv,dis,lband,hband,t_n
2013-01-29,17668.1,17743.01818181818,17664.8906105983,552.0,93.92712550607287,85.21826001009332,74.34009240435603,411.99226062125825,-6.0728744939271255,-12439985409.407764,-66.6666666666212,2.4272956262880694,-931180100.0,0.0001267255675482941,17350.181205350586,17986.01879464941,17290.0
2013-01-30,17663.1,17674.272727272728,17596.72868139861,-297.0,5.191256830601093,79.5511329215348,46.71286776681828,401.27494823174817,-94.80874316939891,-11421649960.773884,-66.66666666666455,-0.28835063437139563,-2291438400.0,-0.00021123132405976222,17323.841455536734,18002.358544463263,17439.0
2013-01-31,17648.3,17633.52727272727,17568.050739326136,-115.0,39.71238938053097,74.61471420193024,51.65395356274059,386.0175605449344,-60.28761061946903,-11483462560.773884,-66.66666666666367,-0.8415306760675499,-931561200.0,-0.00011859499215221822,17284.992912274858,18011.60708772514,17319.0
2013-02-01,17624.8,17573.654545454545,17522.768786721383,-313.0,26.438053097345133,68.99230027229115,47.69630479626792,366.0524707187615,-73.56194690265487,-10864483090.28208,-66.66666666664321,-1.3387262162470093,-2329996300.0,-0.00017350551495619768,17212.973046060233,18036.626953939765,16539.0
2013-02-04,17515.5,17376.236363636363,17343.90173459022,-1177.0,0.0,59.853597811441034,30.705329954437353,331.9701714459836,-100.0,-9506039517.627924,-66.66666666666534,-6.198956442831216,-3574958100.0,-0.0005575062087865034,16745.18876420551,18285.81123579449,16712.0
2013-02-05,17415.1,17230.145454545454,17229.01051011927,-867.0,18.825781748564136,52.40740886300978,36.29772090569181,292.31926754004473,-81.17421825143586,-9944718609.337769,-66.66666666666161,-5.667193497403477,-2382492400.0,-0.0004037300962957426,16523.34691758808,18306.85308241192,16603.0
2013-02-06,17317.5,17082.49090909091,17115.19041737031,-1154.0,12.373096446700508,46.91361130205593,34.356628893679115,248.84280531422098,-87.6269035532995,-9250437246.869255,-66.66666666666039,-5.55207918539166,-3688794300.0,-0.0004125884221163563,16312.423982978855,18322.576017021143,16401.0
2013-02-07,17181.9,16915.854545454546,16985.337614212072,-1326.0,0.3148614609571789,37.10299218499376,30.948692832431288,201.58560639174507,-99.68513853904282,-9308152342.702589,-66.66666666665905,-7.636425071802669,-5073956600.0,-0.00045448989925444877,16088.577924858833,18275.22207514117,16631.0
2013-02-08,17072.3,16815.69090909091,16920.912593446243,-1266.0,15.753424657534246,30.869511121335414,38.64787288160521,157.12414567752526,-84.24657534246575,-10186298708.856436,66.66666666676589,-6.182659220398262,-4007049800.0,-0.000258488897219472,15999.990697610567,18144.609302389432,16530.0
2013-02-11,16935.6,16717.090909090908,16849.83757645602,-1362.0,9.464508094645081,22.200049722295123,36.6537931267461,114.82927743009832,-90.53549190535492,-9785274805.347664,66.66666666669902,-7.638151645527183,-4921384300.0,-0.00023949550060228076,15976.077535442333,17895.122464557662,16644.0
2013-02-12,16810.8,16664.072727272727,16812.412562554924,-646.0,17.027863777089784,14.510123549396813,40.50368027068807,77.39820544436155,-82.97213622291022,-9696206541.649035,-66.66666666658583,-6.975184439973173,-4054453200.0,-9.922192876008237e-05,16085.186438942375,17536.413561057623,16712.0
2013-02-13,16753.0,16646.109090909093,16794.155732999483,-727.0,28.847771236333053,16.875774989970008,42.807395586486265,45.733450899040946,-71.15222876366694,-9976592057.3441,66.66666666667211,-3.342972816657027,-3220773600.0,-2.4473228675461113e-05,16100.923930825025,17405.076069174975,16545.0
2013-02-14,16663.6,16608.29090909091,16748.85469063594,-774.0,14.802354920100925,14.384771543927005,38.71665802291417,16.78994523026999,-85.19764507989908,-9700828014.353447,-66.66666666666013,-5.12644073628075,-3977357000.0,-7.117309584963547e-05,16192.11197259037,17135.088027409627,16490.0
2013-02-15,16580.7,16576.727272727272,16701.790201429405,-49.0,13.209606986899564,13.061926932882447,37.40850987541133,-9.832361144704558,-86.79039301310044,-9821466420.875187,-66.6666666666605,-4.786650499451469,-4593953300.0,-5.470215370883058e-05,16393.49305570956,16767.90694429044,16406.0
2013-02-18,16567.4,16544.963636363635,16648.010164805877,-306.0,14.227642276422763,14.484691160524724,35.379938783317,-34.86838916179282,-85.77235772357723,-9227543995.357946,-66.66666666666296,-0.8041598645625491,-5122289200.0,-9.742023491917949e-05,16353.270693293623,16781.52930670638,16664.0
2013-02-19,16562.6,16562.52727272727,16650.917407568446,61.0,66.66666666666666,19.268779652334977,45.471165217396454,-53.85423346578192,-33.333333333333336,-9753552013.005005,66.66666666666961,-0.28721876495931065,-4417307500.0,6.122227186552925e-05,16359.799211070194,16765.400788929805,16528.0
2013-02-20,16555.1,16556.236363636363,16628.568788010547,127.0,39.02439024390244,21.93390903205517,41.660685205958565,-69.89825511066766,-60.97560975609756,-9478906306.670164,66.6666666666983,-0.4517255917605252,-5069960200.0,-1.6369577954828753e-05,16353.285332568354,16756.914667431643,16010.0
2013-02-21,16516.0,16457.127272727274,16516.101735644992,-621.0,0.0,21.90242288595945,30.753985577832562,-90.64352690022983,-100.0,-7922210441.840768,-66.66666666666559,-2.3840009755502716,-5975458100.0,-0.00030636958101235164,16136.567792628883,16895.432207371116,16233.0
2013-02-22,16476.2,16405.672727272726,16464.62869280045,-297.0,27.736318407960198,23.100712261002048,38.46042912722347,-109.97008198335178,-72.2636815920398,-8954752627.112085,66.66666666667635,-2.393121279538212,-5205527800.0,-0.00014760685109430617,16070.76413578657,16881.63586421343,16352.0
2013-02-25,16458.4,16383.09090909091,16444.150748654913,-292.0,39.130434782608695,26.06730492979841,42.269870879101965,-125.49231775543223,-60.869565217391305,-9969439070.139975,66.66666666666809,-1.0768300060496068,-3813799400.0,-6.464783940115773e-05,16048.371513196367,16868.428486803634,15552.0
2013-02-26,16349.2,16218.290909090909,16281.941521626746,-1160.0,1.6248153618906942,24.527000088278495,28.904671790205917,-149.16326910326433,-98.3751846381093,-7159547780.950786,-66.66666666666617,-6.560922855082913,-5395031000.0,-0.00048760795635260484,15689.449865486638,17008.950134513365,15827.0
2013-02-27,16260.7,16123.345454545455,16199.224881330974,-718.0,25.458392101551482,24.18806217480034,36.565413531366595,-172.6074983697099,-74.54160789844852,-7610343774.856603,-66.66666666664935,-5.295595978937291,-4533986800.0,-0.00026671668501356075,15582.195143723837,16939.204856276163,15921.0
2013-02-28,16198.3,16061.581818181818,16148.638539270798,-569.0,32.08744710860367,25.916571393650617,39.05937264487723,-193.04382495796835,-67.91255289139633,-7590919888.383173,66.6666666666699,-3.771532184950136,-3729837900.0,-0.000171190803973256,15521.083904510315,16875.516095489686,15675.0
2013-03-01,16116.8,15966.436363636363,16062.522441221561,-731.0,14.739069111424541,26.069517606103112,35.05215704708404,-213.72492255716438,-85.26093088857546,-6755370732.79578,-66.66666666666329,-4.942389326864767,-4499248600.0,-0.0002741238955623941,15404.371589568302,16829.228410431697,15542.0
2013-03-04,16030.4,15861.927272727273,15967.881997363094,-1122.0,9.140148950575492,25.560768273518384,33.017303878167894,-235.04211508590296,-90.8598510494245,-6172866484.519918,-66.66666666666372,-5.266365963671828,-5185940600.0,-0.00030467112486276055,15271.191359381246,16789.608640618753,15974.0
2013-03-05,15961.4,15851.672727272728,15968.994361478894,-554.0,38.388625592417064,22.732964166093428,44.62004324344022,-248.97634098281787,-61.611374407582936,-7445310500.8138485,66.66666666666818,-4.14066250600096,-4463118500.0,7.894044382071976e-06,15330.490687982712,16592.309312017285,15900.0
2013-03-06,15898.6,15840.50909090909,15956.449932119094,-110.0,33.37846987136086,22.16837212883927,43.19592466875604,-258.05682753493954,-66.62153012863914,-7533785996.5127735,66.66666666667224,-3.7996127783155855,-5211138600.0,8.805806800596507e-07,15393.263518049525,16403.936481950477,15947.0
2013-03-07,15892.3,15849.309090909092,15954.731762642894,-286.0,36.56059580230197,25.824431709069465,44.4471798920379,-262.3674122558149,-63.43940419769804,-8301298413.731317,66.66666666739427,-0.3935040599625234,-4283983600.0,3.4419184133197036e-05,15391.122147346794,16393.477852653206,16204.0
2013-03-08,15889.4,15905.981818181817,16000.053260344186,-148.0,53.96073121191605,28.44687298946505,51.0043531677375,-259.13931884721444,-46.03926878808395,-9564464667.829678,66.66666666666907,-0.1786484322060001,-3472897900.0,0.00019799363097410875,15395.86402361117,16382.93597638883,16092.0
2013-03-11,15863.4,15942.818181818182,16016.770849372515,540.0,80.39906103286386,32.573735614490566,48.24681466350303,-252.32343435847605,-19.600938967136152,-8553975153.429678,-66.66666666666164,-1.5900195694716242,-4001396600.0,0.00014410529899012845,15449.041507882293,16277.758492117706,16024.0
2013-03-12,15910.6,15972.018181818183,16018.085240395694,197.0,72.41784037558685,39.653038115860184,46.54906488449605,-244.00302147959883,-27.582159624413144,-8644396614.586702,-66.66666666659738,3.0349794238683128,-4685208900.0,7.127323922416479e-05,15544.115948518778,16277.084051481223,15745.0
2013-03-13,15902.4,15941.90909090909,15968.433378505568,-176.0,39.671361502347416,41.07433505593978,40.11398904557299,-238.66435055456694,-60.328638497652584,-7744970135.713463,-66.66666666666525,-0.5181019776331586,-5483449900.0,-9.897877050005007e-05,15525.285481597319,16279.51451840268,16131.0
2013-03-14,15923.4,15983.472727272727,15997.99094605001,456.0,84.97652582159625,46.363242927239035,50.60996116067907,-229.403940874093,-15.023474178403756,-9528395908.021154,66.66666666666887,1.3190126248351233,-4577804000.0,0.00013037416632126326,15521.882677845526,16324.917322154473,16061.0
2013-03-15,15962.0,16008.49090909091,16009.447137677282,519.0,76.76056338028168,52.56539235412474,48.883611389142914,-218.62045998751117,-23.239436619718308,-9393708002.848742,66.66666666667565,2.4625199362041466,-5693789500.0,6.202230296955268e-05,15590.316263484496,16333.683736515504,15924.0
2013-03-18,16000.2,16001.581818181818,15993.91129446323,-50.0,49.8502994011976,56.63640739918695,45.50794130741262,-208.91978912207892,-50.1497005988024,-8085364996.482694,-66.66666666666487,2.457856131771973,-6569891300.0,-4.7624404694941766e-05,15750.541353063523,16249.858646936478,15671.0
2013-03-19,15969.9,15941.727272727272,15935.200150015371,-229.0,11.976047904191617,53.995149630364416,39.85998546865328,-203.6222062162607,-88.02395209580838,-7412264048.837264,-66.66666666666069,-1.896832352572931,-7440821200.0,-0.00018716460341016515,15650.946147554021,16288.853852445978,16016.0
2013-03-20,15981.5,15950.10909090909,15949.891031830757,69.0,63.622754491017965,57.01957809233013,49.37897966773722,-195.97927511997628,-36.377245508982035,-8559588294.99111,66.66666666666953,0.729559748427673,-6563455600.0,2.1587460501204516e-05,15665.131543939446,16297.868456060554,15936.0
2013-03-21,15980.4,15941.836363636363,15947.36538967971,-268.0,51.646706586826355,58.52818917078256,47.44416777181312,-187.95931736576335,-48.35329341317365,-8009717883.074011,66.66666666668532,-0.06897849125227315,-7316115100.0,-2.778403544341796e-05,15663.483354823167,16297.316645176832,16046.0
2013-03-22,15964.6,15953.763636363636,15965.29895519249,-46.0,70.87227414330218,60.21934346392118,50.412606613582234,-178.103290339469,-29.12772585669782,-8321163745.469554,66.66666666667264,-0.9750678844729697,-6585336900.0,5.098781053079917e-05,15679.713777114219,16249.486222885782,15644.0
2013-03-25,15919.8,15895.472727272727,15906.88096333931,-380.0,10.486322188449847,53.22806957947978,41.007541975372476,-173.01178942294524,-89.51367781155015,-7833038758.844359,-66.66666666666437,-2.783992045737012,-7635050500.0,-0.00017324338245455298,15591.541808952012,16248.058191047987,15496.0
2013-03-26,15867.0,15818.418181818182,15832.175333641253,-249.0,9.570552147239264,46.943340756645014,38.09990814828653,-173.01050088109278,-90.42944785276073,-7471706104.726712,-66.66666666666477,-3.2950574138791815,-8731953200.0,-0.00023381861725594,15461.905443149304,16272.094556850696,15354.0
2013-03-27,15827.9,15725.145454545454,15745.234363888298,-777.0,15.154440154440154,44.49164862185429,35.42235829452816,-177.9733236746796,-84.84555984555985,-6375305111.096139,-66.66666666666488,-2.4833280406478244,-9944171200.0,-0.00029940800737937416,15320.652171034675,16335.147828965324,15339.0
2013-03-28,15748.7,15636.254545454545,15671.373570454061,-722.0,13.706563706563706,37.364652410351034,35.132567932761866,-185.72541823221886,-86.29343629343629,-6603303269.511981,66.66666666668873,-4.909801004277478,-10797053200.0,-0.00026014845669801364,15209.189814748619,16288.210185251382,15555.0
2013-04-02,15698.1,15601.036363636364,15650.214739462413,-369.0,35.06366307541626,33.19496237986449,42.64067535021674,-191.37035156031163,-64.93633692458374,-6901792383.711377,66.6666666666755,-3.1504887615964137,-9818836400.0,-9.115752861811325e-05,15191.3207975953,16204.879202404702,15200.0
2013-04-03,15625.7,15510.472727272727,15568.35751410561,-471.0,0.2938295788442703,28.239315397629166,35.20047842672758,-200.14208252605158,-99.70617042115573,-5920092797.527166,-66.66666666666329,-4.546596332579754,-10553902100.0,-0.00027243579487639,15064.730089942523,16186.669910057479,15154.0
2013-04-04,15574.0,15424.709090909091,15493.019784268226,-862.0,6.584723441615452,27.700182951371545,34.33785647427276,-210.7435472580203,-93.41527655838455,-6290611079.880108,-66.66666666665999,-3.299087486439921,-11603703900.0,-0.00026968023629125464,14947.761067970172,16200.238932029828,15250.0
2013-04-05,15497.4,15365.8,15448.834368946731,-686.0,16.26297577854671,22.96420508012442,37.868506150452056,-220.17266475449125,-83.73702422145328,-6480163402.39093,-66.66666666664871,-4.782717282717282,-10672074400.0,-0.0001596396814949602,14920.728724497392,16074.071275502607,15243.0
2013-04-08,15428.1,15319.545454545454,15411.409938229142,-803.0,15.657439446366784,19.365278366078464,37.70425281113483,-228.03648444851964,-84.34256055363322,-7012642156.809535,66.66666666667112,-4.348644578313253,-11277804200.0,-0.00011997588815213822,14915.967634307539,15940.232365692462,15436.0
2013-04-09,15367.1,15320.981818181817,15415.880858551114,-208.0,32.35294117647059,15.513345069395303,45.0110673453188,-231.24223575635014,-67.6470588235294,-8590958194.688322,66.66666666667378,-3.8015704848560388,-10494579700.0,4.483604583818654e-05,15059.36576402728,15674.834235972721,15929.0
2013-04-10,15395.6,15423.145454545454,15509.175247905456,433.0,98.52272727272727,24.316985577823047,58.74496354755761,-223.67633765010055,-1.4772727272727273,-9793218111.700771,66.66666666666794,1.8217847097928916,-9401203700.0,0.0003464626256852605,14963.078832899784,15828.121167100217,16021.0
2013-04-11,15448.1,15536.854545454546,15602.234293740827,667.0,96.67338709677419,33.02726907277654,60.776226918563104,-207.77610798283737,-3.3266129032258065,-10327401892.423662,66.66666666666954,3.387971089313371,-8345554800.0,0.0003708546682116245,14874.979105258088,16021.220894741913,15780.0
2013-04-12,15490.7,15597.2,15634.555331242495,441.0,72.37903225806451,38.74972828313898,53.15814274805618,-190.37252781054244,-27.620967741935484,-9098162115.953074,-66.66666666666262,2.7745212973817894,-9295421900.0,0.00018675721561969393,14889.260360476797,16092.139639523204,15629.0
2013-04-15,15519.7,15622.345454545455,15633.545271016586,74.0,57.15725806451613,43.09479771893422,48.89171225877364,-174.6483313082694,-42.84274193548387,-8849299810.689915,-66.66666666666323,1.890605645739618,-9970905300.0,7.042661907124447e-05,14922.363210583997,16117.036789416004,15533.0
2013-04-16,15517.5,15624.763636363636,15615.264312649933,333.0,47.479838709677416,44.336415282360335,46.26850778258713,-161.79681982937512,-52.520161290322584,-8649087178.739708,-66.66666666666363,-0.1414336226293796,-10788723000.0,9.988722410182052e-06,14920.537522125705,16114.462477874295,15384.0
2013-04-17,15535.9,15600.49090909091,15573.216255804491,230.0,32.45967741935484,47.553000066411386,42.34998245449799,-153.23839434692192,-67.54032258064517,-8353780774.270434,-66.66666666666312,1.2105263157894737,-11614658100.0,-9.7773543856487e-05,14968.611396210155,16103.188603789844,15481.0
2013-04-18,15568.6,15590.50909090909,15556.449663840038,231.0,42.23790322580645,51.11831804483049,45.67778530296932,-146.1242746601481,-57.76209677419355,-9111027514.580511,66.66666666667825,2.1578461132374294,-10765224800.0,-5.626710173040631e-05,15058.300323349256,16078.899676650744,15761.0
2013-04-19,15619.7,15625.49090909091,15593.64063405094,518.0,64.13708690330478,55.90572915730629,54.16391144064674,-135.91849922308663,-35.86291309669522,-10589209222.063505,66.66666666666883,3.350819672131147,-9749838300.0,9.04626849427321e-05,15146.238660511875,16093.161339488126,16022.0
2013-04-22,15697.6,15698.636363636364,15671.524155132587,586.0,87.3508353221957,63.07506874488919,60.54726749775596,-120.16066209382608,-12.649164677804295,-12487397841.230171,66.66666666666872,5.110542544118612,-8827641400.0,0.00020665579451635896,15241.673514708846,16153.526485291155,16491.0
2013-04-23,15803.1,15842.89090909091,15820.519763290296,562.0,100.0,69.83977462724212,69.13065563032951,-94.55973648887459,-0.0,-13666024055.143215,66.66666666666816,6.834672194869137,-7693398600.0,0.0004352943409837308,15180.390147829648,16425.80985217035,16563.0
