Date,sma10,wma10,ema10,mom,stck%,stcd%,rsi,macd,r,ad,cci,roc,obv,ris,lband,hband,t_n
2007-02-28,17980.18984375,17992.841335227273,17913.699727687017,-293.111328125,24.1204992635352,85.48642043658971,43.657575995155796,228.12954392647225,-75.8795007364648,841985063.8524446,-159.48798410065345,-0.8366162956391171,927000000.0,-0.00020915836061415256,17632.774789356925,18327.604898143072,17453.509765625
2007-03-01,17935.8177734375,17897.081321022728,17830.028825493922,-422.140625,18.474375823758464,77.53542014602624,31.148381657624697,176.36521621742577,-81.52562417624154,908114397.0097139,-179.12799244675048,-2.4792702083139173,704700000.0,-0.00026890773195007854,17465.684221942804,18405.951324932194,17217.9296875
2007-03-02,17870.045703125,17766.556214488635,17718.73807313139,-722.16015625,5.04403248466573,68.54451059871334,26.355899001444968,115.00654621070498,-94.95596751533427,826234958.5768409,-157.33162280367054,-3.6794225035299744,506600000.0,-0.0003649212914497263,17230.969047864583,18509.12235838542,16642.25
2007-03-05,17740.26171875,17543.320632102274,17523.012968925683,-1296.869140625,6.186198132493508,59.60105384472549,15.884335300713431,19.69973228851086,-93.8138018675065,715697539.1726441,-172.4397875837522,-7.234299577391157,295700000.0,-0.0006189377226546167,16769.65681267938,18710.86662482062,16844.5
2007-03-06,17630.7998046875,17380.454865056818,17399.646974575557,-1068.7109375,17.629040278468423,51.814417185192454,23.979724014080645,-39.061443659516954,-82.37095972153158,856685711.1797276,-118.24354601177511,-6.101855570746064,505700000.0,-0.0004459807912278866,16535.681475836813,18725.918133538187,16764.619140625
2007-03-07,17515.940625,17222.96747159091,17284.187368402727,-1344.169921875,13.109564064312945,43.91041730325311,23.379803779379003,-91.02651965259065,-86.89043593568705,695026411.6637399,-88.91933400192838,-6.411981642389455,288300000.0,-0.000428935847899975,16326.521107968896,18705.360142031102,17090.310546875
2007-03-08,17414.0927734375,17145.58018465909,17248.937037215866,-1098.109375,31.53643847726394,37.32546548281059,27.738003451187723,-104.7214781838884,-68.46356152273606,874326411.6637399,-60.448893530311146,-5.6242220951928985,467600000.0,-0.00018593114828030526,16271.681496599642,18556.504050275358,17164.0390625
2007-03-09,17311.6546875,17100.115873579547,17233.501041812982,-1051.310546875,35.707829161832144,31.422164407185164,27.551064957210812,-108.37626236016149,-64.29217083816785,844279140.5476164,-21.91316519149084,-5.632049753497219,699200000.0,-8.526950639015775e-05,16287.786038764893,18335.523336235106,17292.390625
2007-03-12,17219.3587890625,17096.613316761363,17244.208238756077,-827.529296875,43.654084929532246,26.776466836091146,30.634531516756454,-99.76576905256661,-56.345915070467754,901751494.1577158,11.747879994678291,-5.066929837569383,829200000.0,4.241263384551246e-05,16390.072641040213,18048.644937084784,17178.83984375
2007-03-13,17125.25078125,17089.246235795454,17232.323076027697,-425.279296875,49.28130560083925,24.474336821670185,30.40333502796136,-100.94090620128554,-50.71869439916075,813948033.3587413,24.313892947981575,-5.193621617438249,694000000.0,3.129242496038222e-05,16552.064232940844,17698.437329559158,16676.890625
2007-03-14,17032.5279296875,17007.726207386364,17131.335357659023,-776.619140625,14.053596518151783,23.467646547131842,30.57974298914408,-140.75280710183142,-85.94640348184822,701424699.3051819,-84.75035819810921,-5.267111113132813,530300000.0,-0.00020879889711945205,16500.703259334725,17564.352600040278,16860.390625
2007-03-15,16973.216015625,16976.428515625,17082.072678993747,-357.5390625,39.765019494749225,25.59671091423092,37.74629314442554,-155.70227011961833,-60.234980505250775,717576902.1117843,-42.712913548036454,-3.3982800513462275,695200000.0,-6.647260632347802e-05,16515.2552251777,17431.176806072297,16744.150390625
2007-03-16,16925.8380859375,16934.780220170454,17020.6322629267,101.900390625,26.653605401941938,27.757668205958538,39.704130911078835,-174.9131527746431,-73.34639459805805,661960129.4226449,-59.71042491259814,-2.75166239770951,521900000.0,-0.00010734339675826801,16481.109039839932,17370.567132035067,17009.55078125
2007-03-19,16962.5681640625,16950.000710227272,17018.61744807639,165.05078125,54.65136166478345,32.60418455918753,59.226145504426206,-166.79956069924083,-45.34863833521655,778602972.1891543,-14.946047983935092,2.207037998167315,652700000.0,2.7697820715048513e-05,16558.808613048663,17366.32771507634,17163.19921875
2007-03-20,16994.4380859375,16986.47908380682,17044.905042744318,398.580078125,76.70828438368301,38.51210896970899,58.20568575664253,-146.28505268347362,-23.291715616316985,684795269.9654998,75.9005387509031,1.8920075914987087,782100000.0,9.93037439420515e-05,16582.753620782943,17406.12255109206,17419.19921875
2007-03-22,17059.89609375,17063.70838068182,17112.958529290805,328.888671875,91.86481541178767,46.38763410445647,65.45234575779176,-108.12371389410328,-8.135184588212326,644508551.827024,123.79329335467587,3.904532949029444,928600000.0,0.00021061272766581004,16608.911388208984,17510.88079929102,17480.609375
2007-03-23,17098.9259765625,17140.201704545456,17179.804137601564,316.5703125,94.02152939324884,52.63614319605496,60.52711152786485,-72.09423412871183,-5.9784706067511655,663234980.871555,109.65226917869921,2.283743335467751,1057100000.0,0.0002232206858844083,16581.505714061124,17616.346239063874,17521.9609375
2007-03-26,17134.7181640625,17217.117151988637,17242.014464855823,229.5703125,96.11724768520952,58.67708504839269,59.825447854181725,-39.74572238512701,-3.8827523147904865,705291278.9513013,96.51960098699931,2.0853009812940115,1149000000.0,0.0002259989161944228,16558.101349367604,17711.334978757393,17365.05078125
2007-03-27,17141.9841796875,17258.995809659093,17264.38470420022,186.2109375,79.23047010478302,62.234723565917776,51.96382947275069,-26.46555359872582,-20.769529895216976,641059705.220956,63.55142332232047,0.4201857211399884,1023300000.0,0.00013012881077490633,16555.85042797414,17728.117931400862,17254.73046875
2007-03-28,17149.5732421875,17279.495134943183,17262.629388663816,577.83984375,67.35772315000683,64.04236532083453,52.05472932526446,-24.55974197292744,-32.642276849993166,603030126.2571931,30.620895156875882,0.44176804539923864,870300000.0,6.131769291134078e-05,16559.77348488964,17739.37299948536,17263.939453125
2007-03-29,17208.278125,17300.28899147727,17262.867582202212,403.548828125,67.83262944045323,69.42026861306468,71.67847349342149,-22.052081780660956,-32.167370559546775,667768165.8087927,4.00519785820884,3.5201335868028454,1015000000.0,3.234566975305629e-05,16708.33911863053,17708.21713136947,17287.650390625
2007-03-30,17251.0041015625,17314.7203125,17267.373547369993,543.5,70.42603143271575,72.48636980686133,67.88893595516092,-17.944614173833543,-29.573968567284254,594147684.8330991,23.04582207635001,2.53410359894909,1130300000.0,2.124298901487219e-05,16807.442751403927,17694.56545172107,17028.41015625
2007-04-02,17279.430078125,17274.248686079547,17223.925658075448,18.859375,37.25139013266135,73.54614827993326,60.628908035819926,-35.202148401545855,-62.74860986733865,461426590.37860984,-66.82053541215677,1.697666104242328,976400000.0,-0.0001452709497593782,16946.90417107438,17611.955985175617,17244.05078125
2007-04-03,17302.880078125,17267.816086647726,17227.584771379912,80.8515625,43.82918358362276,72.46393047181719,59.1072105830059,-31.119743327515607,-56.17081641637724,554416782.8109504,-67.83937209351572,1.3786372316104578,1128400000.0,-3.399971369470083e-05,17020.496274116897,17585.263882133102,17544.08984375
2007-04-04,17340.969140625,17311.672407670456,17285.131148174474,124.890625,94.38576197578968,74.23167823102787,63.282260986593506,-3.6318968355844845,-5.614238024210324,651343303.325446,91.736686783037,2.2192285957031523,1278800000.0,0.00011713342055903148,17041.960663386602,17639.977617863395,17491.419921875
2007-04-05,17348.1912109375,17339.027095170455,17322.638197938206,10.810546875,85.26478138666505,73.57167482851561,52.93460335197304,13.743965159072104,-14.735218613334958,679185272.708659,73.02507820813538,0.41460403671864404,1146000000.0,8.2561178393744e-05,17038.669590942794,17657.712830932207,17484.779296875
2007-04-06,17348.608203125,17363.861292613637,17352.118397744896,-37.181640625,84.11480793752261,72.58100268294297,50.17733294572034,26.67116939808693,-15.885192062477381,667508690.3583869,73.98679146501743,0.02385455670077291,1025000000.0,7.849107672249513e-05,17038.36373221091,17658.85267403909,17743.759765625
2007-04-09,17370.7880859375,17435.70703125,17423.32591917764,378.708984375,99.45770404569998,72.91504831899204,57.95912817615899,57.15478652952879,-0.5422959543000235,784877941.1538743,153.52322025427705,1.2658333671450692,1149500000.0,0.00021471200836848547,16990.3655870513,17751.2105848237,17664.689453125
