Date,sma10,wma10,ema10,mom,stck%,stcd%,RSI_10,macd,r,ad,cci,roc,obv,dis,lband,hband,t_n
2012-11-20,2049.9806884765626,2034.852685546875,2043.1397913528892,-96.8070068359375,11.292454642654281,21.887086996477915,28.129321649912974,-9.434630016862553,-88.70754535734572,1030210.952210058,66.66666666660196,-4.609501178506526,18182000.0,-0.00020028342254415097,1989.2088025242888,2110.7525744288364,2030.3189697265625
2012-11-21,2042.4395874023437,2031.2778275923295,2040.8087328753752,-41.1900634765625,36.0865200099771,18.537461873410745,39.159065017289066,-11.212967428720127,-63.9134799900229,1017675.0834857614,66.66666666664842,-3.5812289059682993,18235200.0,-5.934382466213696e-05,1993.6831606343865,2091.1960141703007,2015.6109619140625
2012-11-22,2036.8497802734375,2026.3998956853693,2036.2273199733183,-53.4559326171875,24.21530241646791,18.336791212672264,35.05052921481812,-12.843937456650483,-75.7846975835321,1112638.5016396807,-66.6666666667109,-2.6984227629762563,18189600.0,-0.00010427287552115814,1989.9232167641003,2083.776343782775,2027.384033203125
2012-11-23,2032.681494140625,2024.6788507634942,2034.619449651465,-51.888916015625,38.16491919795308,19.878792549115122,40.59396173361231,-14.103656479061158,-61.83508080204692,1052997.9863228647,66.66666666665488,-2.0145729187537125,18241200.0,-2.6061441267461068e-05,1990.8094618009475,2074.553526480303,2017.4639892578125
2012-11-26,2026.5005981445313,2021.912031693892,2031.5002750344372,-30.425048828125,26.86870678530491,18.882195182236728,37.59024087842598,-15.178713443515463,-73.13129321469509,1098542.017363481,-66.6666666666844,-2.9726236752207607,18196400.0,-4.4592184650686684e-05,1997.7816723564504,2055.219523932612,1991.1650390625
2012-11-27,2020.8281982421875,2015.4873845880682,2024.1665957668122,-64.25390625,1.2531439316352873,18.521573905991698,30.863234014136392,-16.433040597203153,-98.7468560683647,1170571.2511612568,-66.66666666667243,-2.769876588452989,18139800.0,-0.00014678714007202532,1989.0079725230364,2052.6484239613383,1973.52294921875
2012-11-28,2012.6385986328125,2006.8864302201705,2014.958660030801,-56.76708984375,6.221582091729683,17.31017246718792,27.230958390993592,-17.963040612826003,-93.77841790827031,1259475.254915005,-66.66666666667193,-3.9843943387073706,18089200.0,-0.00019435009067516565,1978.5687392453008,2046.7084580203243,1963.488037109375
2012-11-29,2005.9583984375,1997.9499644886364,2005.6003649541778,-51.2369384765625,2.2802761459857916,17.493683998261368,25.345733106349968,-19.70358221963632,-97.7197238540142,1271833.8055017686,-66.66666666668422,-3.2902689107400276,18039600.0,-0.0002117210474614345,1963.2508258113558,2048.665971063644,1980.116943359375
2012-11-30,2002.4975952148438,1993.2515181107954,2000.9670155733047,-36.8651123046875,27.508862412062573,19.17477315140194,33.78602717073236,-21.212324087609943,-72.49113758793743,1234626.9612411354,66.66666666664528,-1.7177546635861567,18096400.0,-0.0001117636890498621,1957.637821540698,2047.3573688889896,1959.7669677734375
2012-12-03,1996.7760864257812,1985.482313121449,1993.4760977915105,-49.156005859375,2.4453695718344157,17.633713720560504,29.284153393150866,-22.75021700850039,-97.55463042816558,1263405.2208323146,-66.6666666666907,-2.836668166181962,18034800.0,-0.00018534436036135522,1946.4978663537195,2047.0543064978428,1975.1429443359375
2012-12-04,1993.3980834960937,1981.549014559659,1990.1427971632245,-55.176025390625,30.067674738289096,19.51123573012399,36.39886586601137,-23.961761460930244,-69.9323252617109,1242968.5830025251,-66.6666666670311,-1.681499477094897,18097200.0,-9.157799092562425e-05,1942.3056751991044,2044.490491793083,2031.906982421875
2012-12-05,1993.556884765625,1988.5506325461647,1997.73628539207,16.2960205078125,90.4582442719466,24.948408156320937,54.978847545399546,-24.0321603445964,-9.541755728053399,1139812.14839587,66.6666666666637,0.07821493661788369,18217200.0,0.00019237022002890414,1941.9986972801578,2045.1150722510922,2029.237060546875
2012-12-06,1994.9194946289062,1995.0379372336647,2003.46369905658,1.85302734375,87.52899517327461,31.279777432001605,54.152089552889,-23.3565576922418,-12.47100482672538,1179221.4345884507,66.666666666659,0.6760282063495476,18135800.0,0.00017202481609089937,1940.4631182879004,2049.375870969912,2061.785888671875
2012-12-07,1998.3596801757812,2007.1954634232955,2014.0677335320884,44.3218994140625,96.59634146597497,37.1229196588038,61.91064224348985,-21.715161893151453,-3.4036585340250385,1093114.4956340706,66.66666666666194,1.6968593470866729,18251000.0,0.0003173913541455891,1932.8995795587284,2063.819780792834,2083.77001953125
2012-12-10,2004.990283203125,2022.7246160333807,2026.7408764410268,92.60498046875,97.64663075407567,44.200712055680874,66.20277936225857,-19.17073883396989,-2.353369245924335,948554.3482257102,66.66666666666342,3.2866029146735976,18366400.0,0.0003929182948571118,1922.0376113709544,2087.9429550352957,2074.7041015625
2012-12-11,2013.344189453125,2035.3998557350853,2035.461462826749,101.18115234375,89.99058015376978,53.07445567789432,62.95234197625486,-16.26311571314072,-10.00941984623022,992679.5828602891,-66.66666666686214,4.195486605135086,18273000.0,0.00030476613204442676,1921.3140508927638,2105.3743280134863,2082.72607421875
2012-12-12,2024.264501953125,2048.0147438742897,2044.0550285343854,119.238037109375,95.75440338342634,62.02773780706398,64.65834331797606,-13.114202149339,-4.245596616573667,980947.7119828156,66.66666666642737,5.533410444668493,18351600.0,0.00028880401849273093,1927.9121309030072,2120.616873003243,2061.47607421875
2012-12-13,2034.0633056640625,2054.7804842862215,2047.222491386088,81.359130859375,80.48618334844836,69.84832852731024,56.94082589005855,-10.244979931417358,-19.513816651551643,1062138.6918414019,-66.66666666668056,4.99050848578797,18279400.0,0.00013476851225993714,1944.7543914228265,2123.3722199052986,2150.625
2012-12-14,2051.114111328125,2075.9735196200286,2066.022947497708,190.8580322265625,99.07845626996037,77.00528791310003,72.333679071165,-6.3805104135270545,-0.9215437300396322,897527.8681791609,66.66666666666444,8.611009426107374,18440200.0,0.0004851553022929583,1945.834817542515,2156.3934051137353,2160.342041015625
2012-12-17,2071.1716186523436,2095.833143199574,2083.171873591875,185.1990966796875,95.80759619469312,86.3415105753859,73.48176262876312,-1.9120742605053942,-4.192403805306888,731886.2311635577,66.66666666666275,10.234638941285358,18584400.0,0.0004305313068228613,1966.7250232313356,2175.6182140733517,2162.464111328125
2012-12-18,2089.9037353515623,2112.4317782315343,2097.588644089375,130.55712890625,90.04791659162727,92.33953476071972,73.7461244489199,2.7606830416398314,-9.95208340837274,706797.0302265784,66.66666666662653,9.483929633010268,18710400.0,0.0003471948240924916,1994.2447175743337,2185.562753128791,2162.239013671875
2012-12-19,2102.9369384765623,2125.5836470170457,2109.3432567407385,133.001953125,87.0118095266222,91.99489128618727,73.65957745323344,7.327904352641375,-12.988190473377806,685536.3394865659,66.66666666630691,6.414271537895616,18616000.0,0.0002819964503465952,2006.9228884472543,2198.95098850587,2168.35302734375
2012-12-20,2116.84853515625,2137.477481356534,2120.072305941286,106.567138671875,90.38517231392991,92.2805090002528,74.56059383501065,11.678581334778672,-9.614827686070084,706459.2886484573,-66.6666666667451,6.8555798384336395,18715400.0,0.00024330740405901745,2027.4975151024794,2206.19955521002,2153.31005859375
2012-12-21,2126.0009521484376,2144.1068492542613,2126.1155336962793,69.5400390625,71.67263688457184,89.78813854211248,68.18442550831183,15.436222992580552,-28.32736311542815,701900.4250567687,66.66666666658764,4.439072477153845,18612000.0,0.00012845293609918236,2042.529059281065,2209.47284501581,2159.052978515625
2012-12-24,2133.529248046875,2150.11630859375,2132.104160027069,84.348876953125,76.0590221771374,87.62937768441866,69.29813487609401,18.68205803869825,-23.94097782286261,650073.8889461521,-66.66666666669552,3.612824749312312,18690400.0,0.00011963150021081428,2053.127445497252,2213.931050596498,2213.611083984375
2012-12-25,2147.4199462890624,2164.676642400568,2146.9236007465793,130.885009765625,95.863042818099,88.21662395085158,77.58172088565752,22.194367855432937,-4.1369571819010025,554307.5866012328,66.66666666666308,6.695267162062361,18833800.0,0.0003082356471993143,2064.5120160417578,2230.327876536367,2219.132080078125
2012-12-26,2161.060546875,2177.715212180398,2160.0524151704967,157.656005859375,99.16584403512523,88.55776801602147,78.24179446667537,25.740563103438575,-0.8341559648747705,553951.3065027774,66.66666666666113,6.549397328236847,18955600.0,0.00026871775197182375,2080.3611405564634,2241.7599531935366,2205.89697265625
2012-12-27,2175.50263671875,2185.8672895951704,2168.3877892588152,55.27197265625,83.25775815375366,88.834925496552,72.55187352821052,28.89051157996481,-16.742241846246337,548564.4701925254,-66.66666666703671,7.005703352256079,18826600.0,0.0001397117862534184,2125.348937981861,2225.6563354556392,2233.251953125
2012-12-28,2183.76533203125,2196.3671653053975,2180.1812735981216,72.909912109375,98.24088436530533,88.7511683060865,76.4798892775359,31.96997410482356,-1.7591156346946581,446800.7962937538,66.66666666664963,3.8419972391746584,18942600.0,0.00022661144202577556,2126.070101237417,2241.4605628250833,2269.1279296875
2012-12-31,2194.6439208984375,2211.887637606534,2196.3533928870993,106.663818359375,99.6965628460206,89.14006497121925,80.5383781314007,35.30841181994675,-0.3034371539794056,293945.28908056393,66.66666666666315,5.035586338019526,19070600.0,0.0003393899487738787,2120.141478790565,2269.14636300631,2276.991943359375
